time,open,high,low,close,volume
2026-08-25T15:00:00+00:00,4635.71,4659.43,4629.98,4652.75,14419
2026-08-25T16:00:00+00:00,4652.97,4653.41,4636.97,4643.45,12484
2026-08-25T17:00:00+00:00,4643.63,4648.54,4634.11,4648.54,11172
2026-08-25T18:00:00+00:00,4648.51,4655.16,4644.14,4654.62,9109
2026-08-25T19:00:00+00:00,4654.62,4667.92,4653.27,4666.83,11157
2026-08-25T20:00:00+00:00,4666.86,4668.94,4657.45,4658.87,7513
2026-08-25T22:00:00+00:00,4660.17,4673.86,4657.51,4672.42,5649
2026-08-25T23:00:00+00:00,4672.57,4673.63,4653.11,4654.77,7505
2026-08-26T00:00:00+00:00,4654.77,4658.01,4634.27,4637.58,11665
2026-08-26T01:00:00+00:00,4637.63,4660.91,4629.4,4657.1,13612
2026-08-26T02:00:00+00:00,4657.1,4670.88,4654.87,4658.57,11975
2026-08-26T03:00:00+00:00,4658.59,4658.75,4642.44,4642.73,10066
2026-08-26T04:00:00+00:00,4642.72,4644.52,4638.74,4640.72,7049
2026-08-26T05:00:00+00:00,4640.7,4649.58,4635.47,4639.69,10366
2026-08-26T06:00:00+00:00,4639.7,4641.42,4624.66,4634.28,11814
2026-08-26T07:00:00+00:00,4634.26,4639.32,4626.45,4629.17,10453
2026-08-26T08:00:00+00:00,4629.16,4630.81,4622.14,4628.28,9937
2026-08-26T09:00:00+00:00,4628.29,4630.99,4616.24,4623.26,9805
2026-08-26T10:00:00+00:00,4623.27,4624.26,4613.38,4620.15,8604
2026-08-26T11:00:00+00:00,4620.14,4625.31,4616.52,4624.67,9914
2026-08-26T12:00:00+00:00,4624.83,4633.75,4610.61,4614.53,13196
2026-08-26T13:00:00+00:00,4614.32,4631.99,4597.82,4631.64,15723
2026-08-26T14:00:00+00:00,4631.62,4633.56,4602.84,4602.92,14939
2026-08-26T15:00:00+00:00,4603.12,4609.3,4583.0,4596.16,14982
2026-08-26T16:00:00+00:00,4596.23,4601.61,4585.71,4591.75,13336
2026-08-26T17:00:00+00:00,4591.74,4602.56,4590.52,4597.89,11485
2026-08-26T18:00:00+00:00,4597.88,4604.49,4592.41,4593.82,10726
2026-08-26T19:00:00+00:00,4593.82,4601.74,4591.05,4594.24,10720
2026-08-26T20:00:00+00:00,4594.08,4596.81,4583.91,4594.75,8240
2026-08-26T22:00:00+00:00,4606.37,4613.52,4601.67,4609.06,7987
