time,open,high,low,close,volume
2026-09-14T23:15:00+00:00,4292.33,4292.54,4287.19,4289.95,2146
2026-09-14T23:30:00+00:00,4289.95,4291.97,4287.91,4289.64,1879
2026-09-14T23:45:00+00:00,4289.64,4289.7,4287.06,4288.19,2020
2026-09-15T00:00:00+00:00,4288.12,4289.21,4283.71,4287.03,2853
2026-09-15T00:15:00+00:00,4287.03,4289.92,4283.45,4287.99,2570
2026-09-15T00:30:00+00:00,4288.01,4293.38,4282.95,4292.75,2449
2026-09-15T00:45:00+00:00,4292.71,4296.74,4291.74,4292.76,2437
2026-09-15T01:00:00+00:00,4292.75,4300.1,4287.91,4299.94,3501
2026-09-15T01:15:00+00:00,4299.85,4306.01,4298.85,4301.96,2927
2026-09-15T01:30:00+00:00,4301.91,4306.43,4295.17,4298.62,3343
2026-09-15T01:45:00+00:00,4298.59,4305.04,4294.25,4304.39,3053
2026-09-15T02:00:00+00:00,4304.82,4311.64,4304.55,4307.59,2980
2026-09-15T02:15:00+00:00,4307.41,4310.03,4305.45,4310.03,2314
2026-09-15T02:30:00+00:00,4310.14,4317.27,4307.12,4311.38,3007
2026-09-15T02:45:00+00:00,4311.16,4317.39,4310.98,4314.18,2755
2026-09-15T03:00:00+00:00,4314.3,4314.54,4309.83,4310.82,2726
2026-09-15T03:15:00+00:00,4310.83,4314.47,4309.83,4310.69,2329
2026-09-15T03:30:00+00:00,4310.84,4313.63,4307.95,4308.71,2255
2026-09-15T03:45:00+00:00,4308.67,4310.14,4303.31,4303.7,2243
2026-09-15T04:00:00+00:00,4303.75,4309.81,4302.42,4307.22,2273
2026-09-15T04:15:00+00:00,4307.27,4308.74,4302.56,4303.74,2310
2026-09-15T04:30:00+00:00,4303.75,4306.36,4300.63,4305.14,2145
2026-09-15T04:45:00+00:00,4304.85,4307.88,4304.08,4304.91,2338
2026-09-15T05:00:00+00:00,4304.78,4307.7,4300.49,4301.7,2385
2026-09-15T05:15:00+00:00,4301.73,4302.1,4296.32,4297.36,2577
2026-09-15T05:30:00+00:00,4297.17,4300.4,4289.08,4296.2,3434
2026-09-15T05:45:00+00:00,4296.31,4300.03,4290.72,4291.07,2994
2026-09-15T06:00:00+00:00,4290.99,4294.58,4286.02,4289.77,3393
2026-09-15T06:15:00+00:00,4289.84,4292.51,4287.03,4289.44,3069
2026-09-15T06:30:00+00:00,4289.44,4291.42,4285.82,4290.96,2911
2026-09-15T06:45:00+00:00,4290.97,4295.44,4290.42,4293.39,2815
2026-09-15T07:00:00+00:00,4293.37,4295.61,4286.66,4288.24,3233
2026-09-15T07:15:00+00:00,4288.25,4292.39,4287.47,4292.08,2964
2026-09-15T07:30:00+00:00,4292.1,4293.03,4280.85,4284.03,3149
2026-09-15T07:45:00+00:00,4283.97,4290.14,4276.18,4280.56,3517
2026-09-15T08:00:00+00:00,4280.7,4280.7,4263.53,4267.99,3641
2026-09-15T08:15:00+00:00,4267.9,4275.26,4267.15,4273.08,3372
2026-09-15T08:30:00+00:00,4273.25,4275.03,4266.96,4267.62,3164
2026-09-15T08:45:00+00:00,4267.63,4269.77,4261.42,4262.51,2932
2026-09-15T09:00:00+00:00,4262.49,4267.18,4261.44,4265.99,3012
2026-09-15T09:15:00+00:00,4265.76,4269.85,4261.67,4267.12,3291
2026-09-15T09:30:00+00:00,4267.13,4272.29,4264.8,4269.54,2903
2026-09-15T09:45:00+00:00,4269.56,4272.27,4267.73,4268.24,2870
2026-09-15T10:00:00+00:00,4268.17,4277.98,4268.17,4273.06,2978
2026-09-15T10:15:00+00:00,4273.02,4274.9,4269.89,4274.55,2855
2026-09-15T10:30:00+00:00,4274.52,4277.53,4273.63,4275.11,2383
2026-09-15T10:45:00+00:00,4275.16,4284.07,4274.66,4281.42,2702
2026-09-15T11:00:00+00:00,4281.48,4284.03,4278.57,4283.64,2746
2026-09-15T11:15:00+00:00,4283.76,4285.71,4282.46,4283.29,2711
2026-09-15T11:30:00+00:00,4283.3,4285.26,4280.43,4282.97,2707
2026-09-15T11:45:00+00:00,4282.75,4287.03,4282.42,4284.57,2780
2026-09-15T12:00:00+00:00,4284.35,4285.09,4275.66,4278.69,3082
2026-09-15T12:15:00+00:00,4278.65,4279.43,4271.17,4278.07,3228
2026-09-15T12:30:00+00:00,4278.07,4286.38,4274.69,4281.3,3425
2026-09-15T12:45:00+00:00,4281.31,4295.82,4281.02,4290.54,3893
2026-09-15T13:00:00+00:00,4290.45,4294.51,4283.81,4286.86,3711
2026-09-15T13:15:00+00:00,4286.85,4293.18,4283.67,4287.19,3571
2026-09-15T13:30:00+00:00,4287.24,4294.26,4284.01,4289.83,3989
2026-09-15T13:45:00+00:00,4289.82,4298.41,4288.19,4294.74,3745
2026-09-15T14:00:00+00:00,4294.62,4300.7,4293.39,4293.61,3801
2026-09-15T14:15:00+00:00,4293.61,4295.66,4282.93,4284.33,3709
